// Sample: , Map: , Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Neighbors, Neighbors_STD
153855, 0 ,1.0,1.0,1.0,51.6334431630972,200.65094728171334,243.89415156507414,6.150694246156115,5.730643151629868,6.615632756418882,25.0,27.0,26.0,-0.6301940264762054,0.5011179855714758,0.5930735650241834,7.16469861584298,0.45194341105034125,-0.3843582419022591,0.8049943447565251,6.298210736194079,-0.6313498572122201,-0.775338317393505,-0.015743296335851628,4.841233590258797,34.5248320028893,30.32695610083657,21.753283106954854,10.278040678394103,2.966443530914296,9712.0,22776.406675289447, 0.0, 0.0,0.0,NaN, 125.23622861416963,125.23622861416963,1.3486991523486091E-6, 37.83103970969793, -11.628668418152753, -4.5212953488814, -11.628668418152753, 32.84027093132231, 3.2688605648271745, -4.5212953488814, 3.2688605648271745, 43.7665967678025, 11.0, 0.0
153863, 0 ,1.0,1.0,1.0,70.67776425591099,134.29954798331016,155.697235744089,7.344306974242567,4.995162451619969,7.145799753094556,32.0,22.0,31.0,-0.7547335649593666,0.16636880957877634,0.634585427758207,7.7138636086940995,0.6535302212986264,0.10628208394805008,0.7494013400582012,6.837320301146997,-0.057231947137015564,-0.9803191000031576,0.18894170105062918,4.8682960352977975,35.7744534165941,31.55098735912236,21.909293007420743,10.946309006532129,3.1829649848556443,11504.0,24729.44246991638, 0.0, 0.0,0.0,NaN, 209.41586071888773,209.41586071888773,0.0, 53.938844931908015, -2.894695377770277, -5.859557292825333, -2.894695377770277, 24.951647918074013, 5.615727192791159, -5.859557292825333, 5.615727192791159, 51.06245411132622, 11.0, 0.0
153865, 0 ,1.0,1.0,1.0,163.03866400975522,84.42670195996789,110.65247003539244,7.942023916434583,9.93474396765097,9.667019800269602,30.0,40.0,39.0,-0.27422278383076537,0.8337698529168198,0.4791969294509001,10.239904159860705,0.011245928504615713,-0.4954842093309684,0.8685441424566371,9.523457911093258,-0.9616004336106421,-0.2435636070326,-0.1264965430717172,7.7249120139522285,48.175366194388886,42.01625755865047,33.19399528635671,15.389232974481661,4.289249569321336,33623.0,67189.5788883123, 0.0, 0.0,-1.4210854715202004E-14,61.367034660228455, 195.2696716978942,195.2696716978942,0.0, 63.07574388921891, -10.503069700739294, -5.63412577836629, -10.503069700739294, 98.69913770277734, 4.701454730458953, -5.63412577836629, 4.701454730458953, 93.45127181880451, 17.0, 0.0
153866, 0 ,1.0,1.0,1.0,89.89602176630635,168.76586513714244,198.0319141113317,6.366210800560281,8.906003557977483,6.273822306417434,30.0,36.0,29.0,-0.4228142375059141,0.8885664822902573,0.17798237865757818,9.652764163817988,0.35606279305857097,-0.017713332605506837,0.9342941320843966,6.223000920270039,-0.8333351114417428,-0.4584057639235393,0.3088960142832124,5.225398473648522,40.890555117432484,28.991024710226185,25.028801994036826,12.008658264101067,3.872791288001051,13599.0,29670.620931360005, 0.0, 0.0,0.0,NaN, 188.94756791874764,188.94756791874764,NaN, 40.52863995717038, -24.819697528941848, -1.1576493452883945, -24.819697528941848, 79.31689937470759, 10.228444336383578, -1.1576493452883945, 10.228444336383578, 39.36084633250096, 12.0, 0.0
153871, 0 ,1.0,1.0,1.0,228.4583269846107,272.7591040682615,187.8442023464879,112.78455337761301,8.559058083121284,9.600728357872558,299.0,42.0,44.0,0.9999311763473402,0.0076449506335192745,0.008899286400362685,112.79226557069084,-0.008749614493655026,-0.019393156868578027,0.9997736492391086,9.548854531549665,-0.007815805450307368,0.9997827064900062,0.019324931789819408,8.51534763973802,299.4094529547033,44.09954382111985,42.12159654687599,91.53348894472757,67.13722769421612,39378.0,556165.9911763661, 2.8421709430404007E-14, 0.0,0.0,0.6722162087290396, 135.79101714141567,135.79101714141567,0.0, 12720.35548058764, 96.70195768642482, 112.40120971229075, 96.70195768642482, 73.2574752702438, 0.4986313032348739, 112.40120971229075, 0.4986313032348739, 92.17398500165831, 15.0, 0.0
153887, 0 ,1.0,1.0,1.0,134.98541835435714,174.33760560120356,265.7778902904756,10.483793449470252,8.601661805648797,8.908512005496434,44.0,37.0,37.0,0.8302143685762938,0.29584612132036586,0.47246076525904396,11.27137054932213,-0.5173530722649824,0.7245316877375081,0.4554114975296764,8.56521594863134,-0.20758107049403554,-0.6225181972954159,0.7545735174312815,7.928012282733413,49.943878577084206,41.75011594998398,36.03186189071539,15.60519427290425,4.442747884687187,34564.0,75132.29520382566, 0.0, 0.0,0.0,NaN, 187.57199505072768,187.57199505072768,0.0, 109.90992509115537, 11.826789527340775, 22.702148382895224, 11.826789527340775, 73.98858581875734, 12.439989532474346, 22.702148382895224, 12.439989532474346, 79.36158615207408, 14.0, 0.0
153888, 0 ,1.0,1.0,1.0,156.29130624726955,187.02245522062034,64.80148536478812,5.891243733539598,6.460074842693609,6.973262139220072,28.0,28.0,29.0,0.43091368793626667,-0.4068469272821043,0.8054743765696556,7.273932149811689,0.2685466806549714,-0.7943405294299261,-0.544890634544384,6.54127960095354,-0.8615080230957589,-0.4511083030338667,0.23303481515761243,5.419158313385718,32.96512333254459,28.841015035179396,24.740342680475123,10.7622858930902,3.039557026746371,11445.0,23521.82186381257, 0.0, 0.0,0.0,NaN, 193.94676277261152,193.94676277261152,0.0, 34.70675272796958, -6.990377082179828, 6.207588273813526, -6.990377082179828, 41.73256697320286, -1.9060709251857104, 6.207588273813526, -1.9060709251857104, 48.62638486228009, 11.0, 0.0
153889, 0 ,1.0,1.0,1.0,141.37827992186263,260.22670397550286,265.9543846681801,7.23121801155381,7.8660668919424745,8.234969263871207,33.0,33.0,39.0,0.6023677410791352,-0.2737973225530484,-0.7497920582868312,8.995383443560042,-0.200728027723885,0.8571879577408108,-0.4742753040062466,8.196382612649739,-0.7725680315631107,-0.43619242458681046,-0.46138357723241535,5.820878784721103,42.92780453162433,39.17780487963891,27.08025255814823,12.944295674306069,3.7980851164996237,18941.0,45544.033174597076, 0.0, 0.0,0.0,NaN, 150.76086041688365,150.76086041688365,0.0, 52.290513930620236, -13.48652837677414, -18.073077775593198, -13.48652837677414, 61.87500834851354, -3.881375205383349, -18.073077775593198, -3.881375205383349, 67.8147187769035, 12.0, 0.0
153898, 0 ,1.0,1.0,1.0,207.7113997113997,151.6095238095238,252.01688311688312,6.5469202239583,4.272996039740495,5.71066474872587,26.0,18.0,24.0,-0.9753805741123615,0.11686858943665278,0.1870146209453341,6.590459602163436,-0.209591889558925,-0.22752504127341602,-0.9509487869620792,5.765182522793526,-0.06858553400943491,-0.9667337215576052,0.24641821387231785,4.1304798943924546,27.697515494121376,24.798763651692695,19.054765607152973,9.283309849610456,2.74818297843849,6930.0,13088.035200763308, 0.0, 0.0,0.0,NaN, 181.2161655953579,181.2161655953579,0.0, 42.862164418874194, -2.2349137634851868, -1.5866138190813395, -2.2349137634851868, 18.258495155637956, 4.076433725005161, -1.5866138190813395, 4.076433725005161, 32.61169187234031, 12.0, 0.0
153902, 0 ,1.0,1.0,1.0,31.330754261695336,169.23328403518332,49.61004903868607,20.49801635086038,14.894069400924781,87.86197857849184,299.0,68.0,298.0,0.023136308936956,-0.022413943794381237,0.9994810285004696,87.90561222434026,0.9964480492153223,-0.08045341901812932,-0.0248703153030376,20.434586623283867,-0.08096910783597001,-0.9965063283752269,-0.020472935411695245,14.72278052429269,299.7374878943469,301.21401235442136,68.23211483774344,61.863387411089384,67.3398140433539,128470.0,6160345.452576296, 0.0, 0.0,0.0,NaN, 143.3272728145297,143.3272728145297,0.0, 420.1686743201394, -19.993466997921765, 168.70170309214373, -19.993466997921765, 221.8333033195639, -167.8538115489151, 168.70170309214373, -167.8538115489151, 7719.72727972736, 29.0, 0.0
