// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_Phi_6.65/out_Step_03000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,158.0251880838868,177.82564003637665,181.35839281285308,14.238721904708767,12.404500378228995,9.96406321621283,66.0,51.0,43.0,-0.9130616014652986,0.3909207367076024,0.1161873037022953,14.684877274247718,0.38614825063802993,0.9203491349330951,-0.06202417558575873,11.947212979627867,0.1311794208662827,0.011766369018906875,0.9912888136669844,9.874911055270143,73.53159239856848,61.94560180672107,45.81523596573635,20.43009980158931,6.205353252386535,72574.0,208686.50962179937, -2.8421709430404007E-14, 0.0,0.0,24.068068579629504, 51.000946988358045,51.000946988358045,0.0, 202.74120147963325, -26.093811419881455, -13.615236063354535, -26.093811419881455, 153.8716296334833, 2.7840976472819765, -13.615236063354535, 2.7840976472819765, 99.28255577668557, 9.703802888519537, 5.997872641012823, 16.0, 0.0
2, 0 ,1.0,1.0,1.0,185.49604279518724,36.160026325115176,16.81709107477345,8.500269075777569,16.696527092441666,10.29507813456182,37.0,78.0,46.0,0.014083304250645445,0.993813251568228,0.11016751585094997,16.761075407635115,0.27686277344591187,-0.10974642535285303,0.9546217715944407,10.331363226263463,-0.9608062579007389,-0.017057055128485512,0.27669548541514416,8.32745520387662,81.4577965026089,55.0145218331556,41.301700363941194,20.147045461531068,7.149390482898335,59259.0,185087.85915424972, 0.0, 0.0,0.0,NaN, 42.43497178801098,42.43497178801098,0.0, 72.25457436062042, 1.8253096774032436, 10.21057742886309, 1.8253096774032436, 278.7740169486386, 19.24854495246094, 10.21057742886309, 19.24854495246094, 105.98863379673288, 8.524210806591213, 5.904450655036867, 15.0, 0.0
3, 0 ,1.0,1.0,1.0,168.76822848117925,186.57556082009884,81.26645900968091,15.675095907337345,7.610082491082881,14.475341752635725,65.0,33.0,62.0,0.881727102984468,0.006048407382398995,0.4717210326355542,16.131354857429233,-0.47173237754558306,5.213029262214849E-4,0.8817416244107175,13.96534924781641,-0.005087222995781461,0.9999815723359086,-0.0033128765137779305,7.609593742843117,78.76719190112706,65.77514397825914,33.13757798865217,21.61577675693301,6.776112548899437,68382.0,171683.25282506362, 0.0, 0.0,0.0,NaN, 88.0901610821029,88.0901610821029,0.0, 245.70863170422402, 1.0452321288898325, 27.111960879243686, 1.0452321288898325, 57.91335552108623, 0.6402665364713926, 27.111960879243686, 0.6402665364713926, 209.5355188555991, 8.561137991159459, 5.703565192724658, 14.0, 0.0
4, 0 ,1.0,1.0,1.0,55.56958619409909,80.56688624976805,33.117906847281496,13.707301016788323,13.792809441520495,14.32926808727841,67.0,69.0,71.0,-0.17905442954031128,0.6346143347228039,0.7518006101529359,15.460270452252693,-0.9686426701505583,0.020075737972055432,-0.2476455982012885,13.678793680349536,-0.1722523986062033,-0.7725681917534595,0.6111198738915297,12.543135906370072,81.91811822417765,69.31652819176648,72.88238820168283,23.16016671477139,6.860487964860659,107780.0,413846.57457571855, 0.0, 0.0,0.0,NaN, 103.32375246627315,103.32375246627315,0.0, 187.8901011648462, -9.861534114615539, -3.853092423034064, -9.861534114615539, 190.2415922900969, 38.82638717329707, -3.853092423034064, 38.82638717329707, 205.32792391709543, 8.386481743762856, 5.383257989609892, 25.0, 0.0
5, 0 ,1.0,1.0,1.0,13.073204401377776,104.97228365030223,134.44376985243858,7.985062513631094,15.120305123131697,15.200300590377132,33.0,73.0,73.0,0.08028095059978402,0.6909532040526513,0.7184278939324187,16.678337083439228,0.0631888089513615,-0.7228324194984777,0.6881282349571809,13.541969540331262,-0.9947673815491255,0.009846985901889435,0.1016901837668937,7.866519020566511,76.91153191623116,60.97120668220253,35.49358883683808,21.719894634924337,7.188891809506555,74613.0,166443.24182175833, 0.0, 0.0,0.0,NaN, 116.18431416985197,116.18431416985197,NaN, 63.76122334659652, 6.447768977283392, 17.757644499832963, 6.447768977283392, 228.62362701660265, 46.92811863957815, 17.757644499832963, 46.92811863957815, 231.0491380378194, 9.333519446020297, 5.4211714201822545, 18.0, 0.0
6, 0 ,1.0,1.0,1.0,52.12001005010272,184.92101801628706,120.48252316696473,14.202390277783538,8.765027292450077,13.389961260459556,64.0,34.0,60.0,-0.8666818154934117,0.030651394217431474,0.4979187912959012,14.596174804227026,-0.49692129251503975,0.034895841318657195,-0.8670937142569108,12.9688237425781,0.043952926389784805,0.998920803813391,0.015012260675309768,8.751339749711086,66.94407656512209,60.2426957717031,35.20181206740702,20.443229676203014,6.316566789209737,67661.0,141965.09353719844, 0.0, 0.0,0.0,NaN, 96.26474051894726,96.26474051894726,0.0, 201.70788960248035, -5.213589309827685, -19.418307268822048, -5.213589309827685, 76.82570343739472, -0.689088192544298, -19.418307268822048, -0.689088192544298, 179.29106255660767, 8.928120690806795, 5.470964913393196, 11.0, 0.0
7, 0 ,1.0,1.0,1.0,25.875772980765582,48.87757502181418,50.71228043552487,13.641267978616423,14.569304444238542,12.614070637891073,63.0,73.0,63.0,-0.4910128091603943,0.8548341309117155,-0.1678244018873004,14.743370411533334,-0.6671224199514901,-0.4928592280290185,-0.5586031311626418,14.329010243933531,-0.5602268273105865,-0.16232187152399355,0.8122792081461042,11.60931076544218,69.19150873534554,74.58183451937904,61.77453626778161,22.693296287704847,6.517507630179195,105436.0,318783.1488582472, 0.0, 0.0,0.0,NaN, 75.03538068362491,75.03538068362491,0.0, 186.08419206442576, -11.471409408212569, 33.0946683214886, -11.471409408212569, 212.26463198890895, 7.5731260277492165, 33.0946683214886, 7.5731260277492165, 159.1147780577057, 7.782590675082482, 5.052494978018725, 18.0, 0.0
8, 0 ,1.0,1.0,1.0,90.44870455629925,180.71229414116402,86.34635870055841,13.513500069678521,11.127861904167524,12.279331064870677,68.0,47.0,58.0,-0.920362312273937,-0.1948783812565496,0.3390510738290018,13.768951733345586,-0.36849592289198735,0.14188749484179836,-0.9187375542664515,12.122633949302456,-0.1309349798860285,0.9705103581757105,0.20239979178818265,10.98561242663064,70.65425646556922,62.899342151187724,54.84091780069434,20.537677233074763,5.95229199234515,77541.0,243718.86565611348, 0.0, 0.0,0.0,NaN, 126.52540224814614,126.52540224814614,0.0, 182.6146841332014, 10.984113565036276, -12.605058720786921, 10.984113565036276, 123.82931055822289, -7.977587131314534, -12.605058720786921, -7.977587131314534, 150.781971400698, 8.331954127688027, 5.220655752812242, 14.0, 0.0
9, 0 ,1.0,1.0,1.0,186.04046812442255,20.222667077302123,110.86200595421414,8.457366935610347,10.878955455871273,12.850968375752789,34.0,45.0,62.0,-0.014871139171753724,-0.3729535218302343,0.9277308444663027,13.201496464866455,0.1590271300816063,-0.9169056046868317,-0.3660525699839891,10.499892204306581,-0.9871622060825378,-0.1420907549712511,-0.07294515908514879,8.396360537461756,67.69433046306574,53.348422502090905,37.24192292495934,18.013073867800802,5.527683540340434,48705.0,134494.94947596407, 0.0, 0.0,0.0,NaN, 92.46300220310401,92.46300220310401,0.0, 71.52705548355515, -5.220303394094326, -3.7456732108768533, -5.220303394094326, 118.35167181083133, -22.567014774118714, -3.7456732108768533, -22.567014774118714, 165.14738819459828, 8.857907446080466, 5.37625054767861, 14.0, 0.0
10, 0 ,1.0,1.0,1.0,50.514994279452765,150.965563917044,187.2914900816991,15.81381690674863,13.934738052903546,6.856140238747651,72.0,63.0,29.0,-0.9130106745114182,0.397187260994065,0.09302573800963314,16.262648126822757,0.40202681070918433,0.9147507529473133,0.04006873411183097,13.487039845240954,0.06918057313441382,-0.07398202272414249,0.9948571297500151,6.6997328941244145,69.47656912746551,61.04451612232248,31.27021654357668,21.03361299154638,6.98909960284046,62057.0,132622.10242464577, 0.0, 0.0,0.0,NaN, 71.53772985893664,71.53772985893664,0.0, 250.07680516016876, -29.24288085509797, -16.443201113831453, -29.24288085509797, 194.1769246030381, 13.135406389361012, -16.443201113831453, 13.135406389361012, 47.0066589733747, 8.825608118289212, 5.334082432438624, 16.0, 0.0
