// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_OldFoam/out_Step_07000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,78.92340846463647,135.7774519732762,39.44841690415067,18.004133747409565,17.341819947068018,19.072028100038057,97.0,91.0,87.0,0.3746228413649755,-0.36010945206799444,0.8543880320199492,19.486939132776996,0.8085537518513871,-0.3240933838492047,-0.4911255531045172,18.023487662867634,-0.45376046224266625,-0.8748054989976124,-0.1697550642215455,16.853572399395972,96.15831122188408,92.07042195593655,87.6450413413879,30.251119822750923,8.573188227822019,254754.0,775951.0250383806, 0.0, 0.0,0.0,NaN, 161.92775692967174,161.92775692967174,0.0, 324.148831994612, -23.60250028300785, 14.427327973785847, -23.60250028300785, 300.7387190765262, -22.949009647028475, 14.427327973785847, -22.949009647028475, 363.7422558486412, 7.9032383371389825, 6.219716652630237, 42.0, 0.0
2, 0 ,1.0,1.0,1.0,56.87793921128202,262.3961146967672,13.690014500582867,19.727944787811552,21.10609477419765,9.14071173628222,110.0,95.0,38.0,0.5271030614581526,0.8479337356425423,-0.0563093470102924,21.926064784971985,0.8470503483412999,-0.529569407545963,-0.045408699235940306,18.860990184069703,0.06832327550934013,0.023761787615842696,0.9973802221184127,9.040043447672101,106.08604535691728,99.54340639470658,41.88399812031906,28.47078655589365,10.374293523080851,140684.0,442301.9865388447, 0.0, 0.0,0.0,NaN, 69.54544309907838,69.54544309907838,0.0, 389.191805550941, 55.430568377164235, -22.38308600122283, 55.430568377164235, 445.4672366174134, -12.46307638447853, -22.38308600122283, -12.46307638447853, 83.55261104580752, 7.740256545320545, 5.95794027864522, 23.0, 0.0
3, 0 ,1.0,1.0,1.0,260.82426656046727,140.21424664808177,127.05006770211071,18.177674238213076,16.61334258575639,15.217444228574516,89.0,88.0,76.0,-0.95005121815143,-0.2549796327688262,0.17996685739896337,18.324507422624677,0.3057114002130648,-0.8763382642712121,0.37225231544462756,16.833703825813174,0.06279508474993584,0.4086766857152406,0.9105164160431454,14.793256729167304,99.11801977251602,86.2702411209803,79.42593963961087,27.735540416239363,8.291043315002351,188325.0,679166.0841219019, 0.0, 0.0,-1.4210854715202004E-14,79.63217065072426, 193.2265322276559,193.2265322276559,0.0, 330.4278407105953, 11.040852211965378, -12.65136869453688, 11.040852211965378, 276.0031518717068, -26.41838912329328, -12.65136869453688, -26.41838912329328, 231.57060884977585, 6.729851843615887, 5.583113803269639, 40.0, 0.0
4, 0 ,1.0,1.0,1.0,77.99226745508301,16.74364826667533,261.65386302349003,16.917857459655256,10.650539869137745,18.164822369999555,81.0,45.0,80.0,-0.5380539342475368,0.13797100198576737,0.8315419210429446,19.012612006411985,0.827547372578867,-0.1010241408824381,0.5522313546845914,16.15895618886411,-0.16019772151488637,-0.985270584951164,0.0598211037296222,10.344921065090395,108.89197322197477,91.41758395595747,48.2143616642296,25.56287179660599,8.726296910665603,123116.0,479956.66643308196, 0.0, 0.0,0.0,NaN, 88.50745596323851,88.50745596323851,0.0, 286.213901025213, -31.772848751178913, -43.429168608480175, -31.772848751178913, 113.43399950409265, 20.59735997664387, -43.429168608480175, 20.59735997664387, 329.9607717336363, 7.519339541918396, 5.844894176743531, 21.0, 0.0
5, 0 ,1.0,1.0,1.0,188.21740987983978,113.16089007565643,236.22091084408842,15.982854134459457,14.975253409056094,16.289392354519222,81.0,88.0,82.0,0.15085107493875066,0.13441577140749156,-0.9793754916204268,16.301721009283824,0.9176500981476865,0.34940583080953386,0.18929834327283754,16.160483108142934,-0.3676441901613094,0.9272798745757552,0.07063840065719627,14.769794246204789,81.47385232687444,84.00954924896695,84.90754006264862,26.279528197558577,7.378383423358939,168525.0,581156.5872255815, 0.0, 0.0,0.0,NaN, 171.37242108998828,171.37242108998828,0.0, 255.45162628340776, 14.756962756374529, 0.43970359046702195, 14.756962756374529, 224.2582146654462, -3.4210815999204858, 0.43970359046702195, -3.4210815999204858, 265.3443032794693, 7.003329450869981, 5.680689185098573, 39.0, 0.0
6, 0 ,1.0,1.0,1.0,274.9749013087133,206.2477020482439,208.2402834867239,15.26013764780438,16.40031775851665,17.408883600744513,61.0,90.0,86.0,-0.34530647850155816,0.2672652981591626,0.8996291993397874,17.903207015767023,0.2082324003985174,0.9565173583034257,-0.20423959138351971,16.30015992950502,-0.9150971004921413,0.1168066935758799,-0.38594493520027706,14.788218846692585,92.9538587143323,93.64121495098752,74.3699323217071,27.14668366170112,8.24433247788385,172001.0,647339.1140098764, 0.0, -2.8421709430404007E-14,0.0,74.49839925400615, 133.54997008738073,133.54997008738073,0.0, 232.8718010299366, -0.03592810656761884, -33.633360830400406, -0.03592810656761884, 268.9704225803166, 15.302188487555911, -33.633360830400406, 15.302188487555911, 303.0692282242713, 7.755961499890314, 5.9663866302244655, 34.0, 0.0
7, 0 ,1.0,1.0,1.0,264.06801074116925,280.0809301395495,27.102183942523318,18.584568644345843,11.670103650732484,16.054443434487418,80.0,50.0,68.0,0.9832715976799253,-0.10044865258561979,-0.1519441785317882,18.706002627307264,-0.14722858037385644,0.052843393651343676,-0.9876898910429872,15.991860208527758,0.1072413647668909,0.9935379428794565,0.03717049558173843,11.561511046765423,84.49781291145729,74.4070454489015,55.59652281604349,25.897286443964664,8.285723851639133,140022.0,349548.271008991, 0.0, 0.0,-3.552713678800501E-15,81.26038860694574, 49.21793952063217,49.21793952063217,0.0, 345.38619169640265, -22.30797087399801, -14.556563237810131, -22.30797087399801, 136.19131921883965, -3.0707670825775923, -14.556563237810131, -3.0707670825775923, 257.7451539911562, 7.077696564673715, 5.717196330229724, 17.0, 0.0
8, 0 ,1.0,1.0,1.0,278.0695892090742,208.81014581611709,285.2884333431077,13.336601859075374,17.503914858905226,8.840659261837052,53.0,89.0,39.0,0.24161008421899804,0.9672834932488781,-0.07737706954864415,17.789473002813104,0.9703638420909242,-0.2404841398591972,0.023693721504276902,13.010546890712929,-0.0043105876894920375,0.08080855254506886,0.9967203201848258,8.756115611727896,92.03994074675762,61.549764301593086,41.74240508962521,22.28517712122979,8.11049452219927,75026.0,236472.25507989092, 0.0, 0.0,0.0,NaN, 94.93662421340231,94.93662421340231,0.0, 177.86494914749275, 34.43160009455469, -2.3538761294000743, 34.43160009455469, 306.3870353878031, -18.475309298919985, -2.3538761294000743, -18.475309298919985, 78.15725618390526, 6.9054292452704615, 5.588944372427427, 12.0, 0.0
9, 0 ,1.0,1.0,1.0,155.61221962870934,176.1874356850639,14.727137347421964,17.240834287342878,17.471559264599996,9.66415933969604,82.0,81.0,41.0,-0.642060539936061,-0.7666497634470524,-0.00253046706999988,18.011452142221238,-0.7605630536894716,0.6365408161068729,0.12790477236030734,16.769454758606667,-0.09644741789990942,0.08404718696407762,-0.9917832252785213,9.501089654907997,84.71833234317003,87.56236375122802,44.66042236306658,25.116551528440997,8.065765005390256,119529.0,331297.1509063979, 0.0, 0.0,0.0,NaN, 190.77282504916178,190.77282504916178,0.0, 297.24636692361776, 22.8113079791377, -18.194542385610426, 22.8113079791377, 305.25538313643, 16.000236050400805, -18.194542385610426, 16.000236050400805, 93.39597574303421, 8.518580073097466, 5.85373979073486, 18.0, 0.0
10, 0 ,1.0,1.0,1.0,44.087605880537886,256.438238426548,213.43718335373805,17.090794583825826,20.821147804088707,14.3630995452302,85.0,89.0,78.0,0.20155713181254128,-0.9755964535897887,-0.08709926726746114,20.985952136507095,0.9206395121001496,0.21905490975710648,-0.32316843173692694,17.262370271228377,0.33436149804590354,-0.015050124728143967,0.942324722359637,13.91094782808398,94.2581467820383,89.90205284571434,80.34409300804072,29.126305687187333,9.141794186526305,200934.0,680835.9159084919, 0.0, 0.0,2.8421709430404007E-14,85.00324815886363, 106.46344578959616,106.46344578959616,0.0, 292.0952595065302, -27.479656558981837, -35.417931950667125, -27.479656558981837, 433.5201958797079, 13.583698853453662, -35.417931950667125, 13.583698853453662, 206.298628546192, 7.516047256814274, 5.4693652452591275, 32.0, 0.0
