// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeData_Phi_6.65/out_Step_03000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,156.05804073033707,182.02162921348315,183.78576193820226,15.871498395860108,11.57223690599981,9.213089366574902,74.0,54.0,41.0,-0.954133201671563,-0.2993547864297802,-0.00406759259920247,16.27448919695064,-0.26548698357133393,0.8523097501004779,-0.4506492554502385,11.545861097831823,0.13837086045178243,-0.4288995240440826,-0.8926918299461423,8.51682082133822,78.88971878687789,66.81719028554544,45.60450508204951,20.42924103831523,7.303988952159962,56960.0,240389.9815806013, 0.0, 0.0,0.0,NaN, 50.16990249660496,50.16990249660496,0.0, 251.90446132979, 41.18104799543914, 8.017104477393032, 41.18104799543914, 133.91666700858406, -23.10739218237247, 8.017104477393032, -23.10739218237247, 84.88101567649554, 9.749002004986671, 6.409734669023485, 12.0, 0.0
2, 0 ,1.0,1.0,1.0,184.7778927171102,36.386518728622676,15.84197881037791,9.098709094166871,16.27475053313782,10.209225582750882,41.0,74.0,48.0,0.04084558066691764,-0.9991578121033464,0.003912167281174371,16.284061945634964,0.41902273060776063,0.020683877659429997,0.9077401216421943,10.494297290200478,0.9070565526878676,0.03543788534638217,-0.41951467972906287,8.751077078351774,73.9885362703029,60.50325126183036,42.01258949505035,20.09288306990625,6.939621678066791,59935.0,188071.3314855067, 0.0, 0.0,-1.7763568394002505E-15,89.77584875426263, 42.50481840860725,42.50481840860725,4.76837158203125E-7, 82.78650718027492, -7.405783977385133, 12.790930540148112, -7.405783977385133, 264.8675049158697, -0.10727089549024131, 12.790930540148112, -0.10727089549024131, 104.22828699949508, 8.461105696657457, 5.907016511550895, 14.0, 0.0
3, 0 ,1.0,1.0,1.0,171.10291436501674,187.28018449481618,79.06326702767423,16.218866002518702,7.364806587694702,15.629424702985565,64.0,29.0,65.0,-0.8849501315685351,-0.015749627538534438,0.46541939567365426,16.44478637377232,-0.46469647522373303,-0.035245968017965396,-0.8847682790726139,15.400676625693457,0.030338927988158126,-0.9992545576432834,0.023872127631515264,7.3456836046698255,71.66490629930759,78.24369945148416,30.02579755570389,22.542263484095653,7.308711517214363,73498.0,168364.4770317397, 0.0, 0.0,0.0,NaN, 85.13422025114689,85.13422025114689,0.0, 263.051614407657, 6.018037014356987, -13.827540229629976, 6.018037014356987, 54.24037607415129, 4.12690334565708, -13.827540229629976, 4.12690334565708, 244.27891654629542, 8.531319771566476, 5.556929264429203, 12.0, 0.0
4, 0 ,1.0,1.0,1.0,56.55406475144544,80.87596821547741,32.99040051304147,13.250174213315,13.408059992909086,13.654810483895758,66.0,67.0,66.0,-0.1369424294120698,0.6673912313757869,0.7320080022168003,14.558641810611995,-0.9594959485784228,0.09429617113410926,-0.26547270438039305,13.276832806068684,-0.24619970692166374,-0.7387131895344484,0.6274460358624714,12.392283812024123,76.4276613022902,66.96525169198537,69.91269001410072,22.363577612340567,6.455031772544703,99797.0,357812.97797750187, 7.105427357601002E-15, 0.0,0.0,82.12904379409841, 104.05599934992928,104.05599934992928,0.0, 175.56711668319778, -7.390410398174428, -0.06915243913255431, -7.390410398174428, 179.77607277344921, 27.95494030432258, -0.06915243913255431, 27.95494030432258, 186.4538493511095, 8.700020804648727, 5.416189514816773, 24.0, 0.0
5, 0 ,1.0,1.0,1.0,13.234540297013183,106.64331720340397,138.20655765059234,7.869725304323844,15.208828105305551,12.006357139491952,32.0,76.0,57.0,-0.008826868323345553,0.9991756802670498,-0.039623810499272605,15.213797187824877,0.011854459156853224,-0.03951801001007621,-0.9991485368467208,12.001091182190235,-0.9998907731315962,-0.009289071413412045,-0.011495867021487177,7.868152643903409,75.7168741861237,57.07792989537235,32.39454914404447,19.86863711344108,6.529234236703441,59930.0,140001.545644314, 0.0, -1.4210854715202004E-14,0.0,2.326565672827519, 112.73443483269467,112.73443483269467,0.0, 61.93257636551502, -1.5338472653270163, -0.9133384671571241, -1.5338472653270163, 231.30845233673205, -3.4703591466865165, -0.9133384671571241, -3.4703591466865165, 144.15261176102936, 9.444538056266122, 5.416484423364821, 16.0, 0.0
6, 0 ,1.0,1.0,1.0,51.70497882352941,187.65581176470587,120.9203388235294,14.601507179644827,7.188390009542012,12.00966267746032,65.0,28.0,54.0,-0.9505785588245069,0.014741439049489633,0.31013399278033693,14.881383703651984,0.3101917771895033,0.0017521119052417164,0.9506723891372304,11.662657981569637,-0.013470889619528586,-0.999889803967728,0.006238193186875861,7.185804641269982,65.8014788201828,57.23520911572675,28.390101663978726,19.257712608874115,6.184615230300057,53125.0,106921.70504022976, 0.0, 0.0,-1.4210854715202004E-14,71.93269429934023, 95.28576299802289,95.28576299802289,0.0, 213.20401191721942, -2.3338063475155675, -25.180602910471872, -2.3338063475155675, 51.6729509292834, 0.9169392073078955, -25.180602910471872, 0.9169392073078955, 144.23199762638336, 10.078445602725534, 5.432522250625825, 11.0, 0.0
7, 0 ,1.0,1.0,1.0,56.724902157094746,149.67414520190528,11.79789751524529,12.994455028281521,16.839824969431806,8.192481304561367,60.0,86.0,32.0,-0.2730810843593097,0.9589946688726062,-0.07586795396651211,17.16032334610039,0.9522181671847066,0.28067791941480147,0.12041788752663421,12.675935840870475,-0.13677457164452178,0.03935899677201518,0.9898199765232859,8.024728632429543,93.96049430318176,58.55108018667791,36.025635033240874,21.261787312812043,8.215151652494303,65922.0,198194.61454665705, 0.0, 0.0,0.0,NaN, 76.74370704931523,76.74370704931523,0.0, 168.85586148203092, -34.520969885067835, 15.807042738978792, -34.520969885067835, 283.57970500109894, -13.485715898713925, 15.807042738978792, -13.485715898713925, 67.11674992558753, 8.437095329306509, 5.300750093793619, 18.0, 0.0
8, 0 ,1.0,1.0,1.0,26.802528064158277,51.68635313514559,50.00259523494509,13.648823983213642,12.99896539989927,13.240225243989697,64.0,66.0,65.0,0.7741920556234926,-0.1266262038762464,0.6201551946902985,14.748093237179674,-0.21909834583104218,0.8655986316528929,0.45026095071051864,13.372050679967915,0.5938203228785388,0.4844634283127371,-0.6423959921760858,11.58659003261673,74.5056181930985,66.36462180080362,61.92418599785709,22.149336346616515,6.322496461727569,98257.0,306186.43960018206, 0.0, 0.0,7.105427357601002E-15,51.67253150219682, 76.7470790406431,76.7470790406431,0.0, 186.2903961247479, -16.613317016790493, 35.57720422304419, -16.613317016790493, 168.97310146777835, 10.830078060092896, 35.57720422304419, 10.830078060092896, 175.30356451158204, 7.944759404431971, 5.107574664440449, 21.0, 0.0
9, 0 ,1.0,1.0,1.0,90.40751877791311,179.27769742184327,85.98544711733658,13.346521738410212,12.564787965848609,12.15688252724394,65.0,57.0,59.0,-0.7852117963503646,-0.5964113373798018,0.16654114061417413,14.459305792039714,-0.04257051023008366,-0.21632103903920363,-0.9753937459958155,12.100867906374269,-0.6177622411016914,0.7729804167725312,-0.14446829671308564,11.326553043471232,81.43646092079493,56.91686983748676,60.090870882017725,20.988500740195786,6.5784624799828295,78816.0,278527.7031680267, 0.0, 0.0,0.0,NaN, 126.47699550387681,126.47699550387681,1.9073486328125E-6, 178.12964251385634, 37.99740708114858, -9.810464575235066, 37.99740708114858, 157.87389662673402, -4.196159168913967, -9.810464575235066, -4.196159168913967, 147.789792781209, 8.374360115677602, 5.209696641921912, 20.0, 0.0
10, 0 ,1.0,1.0,1.0,187.74948332185159,20.084424098313296,111.23696082135159,7.4323320178282515,11.128446148061878,13.510110460809097,30.0,44.0,69.0,0.014686953571450946,-0.34750045570852006,0.9375647853226792,13.851727562502573,0.03634525496878677,-0.936860728816715,-0.3478088515870005,10.705283647986937,-0.9992313625162312,-0.03918428362730655,0.001129637362551032,7.425059131559944,76.45322429707505,55.93640966053377,30.816755392098628,18.058329633959545,5.958329328602664,44999.0,131788.43607436938, 0.0, 0.0,0.0,NaN, 91.82775383549775,91.82775383549775,0.0, 55.23955922323496, -2.722911334464763, 1.1310975652593473, -2.722911334464763, 123.84231367031325, -25.171364122765464, 1.1310975652593473, -25.171364122765464, 182.52308466326338, 9.276128536694054, 5.343197922065383, 10.0, 0.0
