// Sample: , Map: , Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Gilberto_Grad_X,Gilberto_Grad_Y,Gilberto_Grad_Z,Gilberto_Angle, Gilberto_Distance_Mean,Gilberto_Distance_COV, Gilberto_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Neighbors, Neighbors_STD
7148, 0 ,1.0,1.0,1.0,47.37085582112567,73.26175790285274,8.365073245952198,4.206561159060679,39.09403519282266,3.4387063670556675,16.0,99.0,15.0,-0.0010956347469531572,0.9999787606795457,0.006424778151932361,39.094859149926535,0.9965119744390235,5.556897790090487E-4,0.08344804376681463,4.211320932210291,0.08344270120352039,0.006493796937831117,-0.9964914180348924,3.4234792207251963,99.08689759698493,16.445435543404272,15.634394270965043,33.22565857173788,21.30537627913919,2594.0,25476.67052661915, 0.0, 0.0,0.0,NaN, 55.03549783623003,55.03549783623003,NaN, 17.695156784917923, -1.6583697388374523, 0.48951408534849056, -1.6583697388374523, 1528.3435876576568, 9.744454612952369, 0.48951408534849056, 9.744454612952369, 11.824701478829185, 23.0, 0.0
7168, 0 ,1.0,1.0,1.0,27.92156862745098,36.76470588235294,64.19607843137256,0.7629441748370083,1.112993407554382,1.298862365621898,2.0,4.0,5.0,-0.07389590553954273,0.005433671179386831,0.997251157112392,1.3012325934777345,-0.09006164381592485,-0.9959354121787635,-0.0012470290654482347,1.1154311527334095,0.9931909662585858,-0.0899062288489006,0.07408491450021823,0.7553070006223804,5.139481267820429,4.075050321596436,2.3301855335640944,1.795301374092437,0.5336427271011551,51.0,48.80257811738388, -3.552713678800501E-15, 0.0,0.0,85.76221369258215, 58.42241344660282,58.42241344660282,6.743495761743046E-7, 0.5820838139177235, 0.05997693194925029, -0.08266051518646675, 0.05997693194925029, 1.2387543252595146, 0.00692041522491354, -0.08266051518646675, 0.00692041522491354, 1.687043444828913, 9.0, 0.0
7170, 0 ,1.0,1.0,1.0,40.6125,26.365625,51.4375,2.3129729246145527,1.514742010830559,2.159824935035245,9.0,5.0,8.0,0.7751281826936158,-0.20990384178978178,0.5959166700101473,2.5658046349113444,0.602768515468906,-0.03696091998224109,-0.7970596007535935,1.9055727205189974,-0.18933150068993768,-0.9770231663558221,-0.0978739763703282,1.4472629483463926,10.61614084876895,7.8701220218305785,6.125395264339787,3.3553640781140146,1.0250184206525663,320.0,511.7787582332117, 0.0, 0.0,0.0,NaN, 68.57723925721,68.57723925721,0.0, 5.349843749999997, -0.7645703124999979, 1.3351562500000027, -0.7645703124999979, 2.294443359375005, -0.5162109375000005, 1.3351562500000027, -0.5162109375000005, 4.66484375, 12.0, 0.0
7171, 0 ,1.0,1.0,1.0,43.38821138211382,23.95731707317073,91.45121951219512,2.4356981044724355,2.0383037636225736,2.3485981237615636,9.0,8.0,9.0,-0.7447541806126128,-0.17168283553439487,0.6448768986736194,2.7746500745743834,-0.29361621988611614,-0.7834812721450309,-0.5476738186345878,2.076047810543833,-0.5992751670808854,0.5972286833206133,-0.5330920876727614,1.8959333025888385,11.803779976427435,9.436761498870254,8.778299365427273,3.795066147478082,1.095761640198617,492.0,977.8099946305539, 0.0, 0.0,0.0,NaN, 50.29484641702471,50.29484641702471,0.0, 5.932625256130615, 0.6893342256593304, -1.8560628594090862, 0.6893342256593304, 4.154682232797949, -0.14740729724370524, -1.8560628594090862, -0.14740729724370524, 5.515913146936336, 13.0, 0.0
7179, 0 ,1.0,1.0,1.0,11.973684210526315,48.05263157894737,75.52631578947368,0.9028271999162335,0.856780031373669,1.1638602309208408,3.0,3.0,4.0,0.41297306089282326,-0.10570398346463641,0.9045882592961952,1.2244834274426,0.4472861626388216,-0.8416637136343311,-0.30255128798784575,0.8694100244814118,-0.7933399899719228,-0.529555342746133,0.30030451092245575,0.8052988000972177,4.655707125899696,3.419563466180634,3.24639968728102,1.6279802766624767,0.5034082150564594,38.0,51.684260761903964, 0.0, 0.0,0.0,NaN, 55.23934950804564,55.23934950804564,0.0, 0.8150969529085867, -0.07756232686980603, 0.3033240997229923, -0.07756232686980603, 0.7340720221606652, -0.05401662049861491, 0.3033240997229923, -0.05401662049861491, 1.354570637119113, 7.0, 0.0
7204, 0 ,1.0,1.0,1.0,43.054716210698246,82.18456512862393,83.15149040424663,4.120315275520567,4.39776923674274,3.085867697209565,15.0,18.0,11.0,0.5101395066594893,0.8552369151681561,0.0912551515196243,4.548376086949146,0.8555462553148402,-0.5154727754686204,0.04825373319683298,3.9671469619964537,-0.08830792015423693,-0.05345686751329194,0.9946577675530914,3.0682196185413306,20.09669838205167,18.69640929266476,12.25196958473272,6.499870116077473,1.8951623012644527,2449.0,4603.5072492632835, 0.0, 0.0,0.0,NaN, 49.54765971504808,49.54765971504808,0.0, 16.976997969688124, 2.1295501317943613, 0.785912734108177, 2.1295501317943613, 19.34037425964082, 0.7225505664681571, 0.785912734108177, 0.7225505664681571, 9.522579444681464, 22.0, 0.0
7214, 0 ,1.0,1.0,1.0,79.15914489311164,42.63182897862233,26.622327790973873,2.3354834358743606,2.413311014252365,1.752466953930824,9.0,9.0,7.0,-0.6508185768465637,0.7095622667263684,0.27010473833228393,2.656271755028104,0.6925712536697216,0.7006080714544212,-0.17173639335698865,2.14401352670126,0.3110952243634787,-0.07529754213156503,0.9473911766145926,1.6422909961808871,11.042542386733746,9.0460215241728,7.3292262271606745,3.6364563391177898,1.0610742900781818,421.0,732.124294899256, 0.0, 0.0,0.0,NaN, 54.41105053809269,54.41105053809269,0.0, 5.454482879243508, -1.0910511676192298, -0.9921519287298094, -1.0910511676192298, 5.824070051511777, 0.606795267460689, -0.9921519287298094, 0.606795267460689, 3.0711404246195806, 12.0, 0.0
7230, 0 ,1.0,1.0,1.0,35.53360768175583,57.617283950617285,86.08504801097394,2.843765980958006,2.8425104879497893,2.355487718368514,11.0,13.0,10.0,0.6315346238518946,-0.6236603969627323,0.46066444201450274,3.4357523047897365,0.6953385058201257,0.7184214418416455,0.019364767646570018,2.459422109393576,-0.34302825131478726,0.30808820354317057,0.8873631036038521,1.9652079299406398,15.6057311204104,11.35252728496225,9.360342396947871,4.447199678787057,1.391979970021056,729.0,1658.3202715009206, 0.0, 0.0,0.0,NaN, 57.031200087850515,57.031200087850515,0.0, 8.087004954454049, -2.0358346458026357, 2.3400772616339407, -2.0358346458026357, 8.079865874104549, -2.251401378516149, 2.3400772616339407, -2.251401378516149, 5.548322391384908, 14.0, 0.0
7231, 0 ,1.0,1.0,1.0,66.94666666666667,87.01333333333334,64.98666666666666,1.0442647599574018,1.6451409936199648,1.4741626625157604,4.0,6.0,6.0,-0.25069345157568174,-0.7480957391886781,0.6144148096724363,2.043613518149354,-0.6470284739254322,-0.34261096582255074,-0.6811548135540592,1.0109960573616465,-0.7200742651052026,0.5683049279267984,0.39814891890763554,0.8784441324123896,7.811341935069933,4.022743320158156,3.5432122328984406,2.2908945798638287,0.8496677923070075,75.0,111.33844158148622, 0.0, 0.0,0.0,NaN, 49.87093208139053,49.87093208139053,0.0, 1.0904888888888897, 0.6940444444444452, -0.41404444444444455, 0.6940444444444452, 2.706488888888885, -1.5064888888888899, -0.41404444444444455, -1.5064888888888899, 2.1731555555555557, 8.0, 0.0
7232, 0 ,1.0,1.0,1.0,7.679765886287625,33.2566889632107,52.32357859531773,14.242769401094455,3.9662240883037807,3.989616024517518,99.0,16.0,15.0,-0.9998770064377248,-0.015605748211093479,0.001559685835774262,14.244386758719184,-0.00848864398317938,0.6221195419312117,0.7828762472259755,4.038943909182491,0.013187680632363034,-0.7827667188697232,0.6221754968732434,3.9100930578419653,99.16416592516411,17.155996948526223,16.637439619829497,8.492935737130905,12.742625016826068,2392.0,28304.612657477348, 8.881784197001252E-16, 0.0,0.0,0.8986348805269716, 58.634693849467425,58.634693849467425,0.0, 202.85648021275247, 2.922083505777339, -0.29938912875695006, 2.922083505777339, 15.730933518641157, 0.4942820829744632, -0.29938912875695006, 0.4942820829744632, 15.917036023086965, 22.0, 0.0
