// Sample: .//bubblelabels.tif, Map: .//bubblelabels.tif, Thickness:(8.191250068658265):/gpfs/home/mader/Foam/NewValid/InSilicoTest/LatticeDataPhi_16.0/out_Step_05000.vtk/distmap.tif, Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Thickness, Thickness_STD, Neighbors, Neighbors_STD
1, 0 ,1.0,1.0,1.0,129.4628853236145,15.155161647955348,183.139079683458,22.117142006977865,9.4295426067662,9.69659256575739,90.0,39.0,41.0,-0.9904990445277104,-0.030177344180094195,0.13416769614154056,22.293970396918326,0.06865190657492318,0.7368511583811413,0.6725602472016898,9.95295331674547,0.11915770438087764,-0.6753811503814763,0.7277786361223261,8.719274965956748,90.935990426273,55.556994339809634,46.8056436384841,24.082679986951295,9.598576788365783,78473.0,236468.21068961802, 0.0, 0.0,0.0,NaN, 74.09085034851465,74.09085034851465,0.0, 489.1679705568248, 13.749097247456708, -54.88371708004208, 13.749097247456708, 88.91627377281908, 9.711334672742424, -54.88371708004208, 9.711334672742424, 94.02390738630149, 11.840298875869927, 6.397587095185379, 12.0, 0.0
2, 0 ,1.0,1.0,1.0,180.9424691595822,165.5056952992987,92.03262211404606,11.196624995716377,16.31104449251307,15.51915603424264,48.0,72.0,80.0,0.16277385385603352,0.9414268586868763,0.29533056435766336,16.537241902212667,0.04841379827073271,0.2913411216729765,-0.9553933509080607,15.418369218455709,-0.9854748990399784,0.1698111320417284,0.001844667138333933,11.002377409346158,78.43278887861922,83.61032895488944,54.81506764079835,23.99455362153382,7.517990705632718,114217.0,359465.7725321153, 0.0, 0.0,0.0,NaN, 100.1151840217312,100.1151840217312,0.0, 125.36441129470074, 25.003702809666308, 1.9308803410299231, 25.003702809666308, 266.0501724367409, 9.904285520673483, 1.9308803410299231, 9.904285520673483, 240.8442040151697, 7.869473405215174, 5.534099360802051, 17.0, 0.0
3, 0 ,1.0,1.0,1.0,170.6788087603646,64.90429056050135,165.49850962272544,15.376715182896088,15.949768451833869,15.709579515473598,61.0,84.0,71.0,-0.5331992940328998,-0.6664909679831175,0.5210453938379503,18.13375097674693,-0.4781894237317095,-0.2706315841062454,-0.8355198505812294,14.740890916443266,-0.69787777430862,0.6946569910978168,0.17440836231378062,13.83844581370538,99.86303631231067,75.33881032344107,73.30219701175444,25.94677416050819,8.02460483135212,150633.0,551493.6496873313, 0.0, 0.0,0.0,NaN, 79.1369194947998,79.1369194947998,0.0, 236.44336981590706, 52.141160209902054, -27.848692566923237, 52.141160209902054, 254.39511366711497, -41.85911444882017, -27.848692566923237, -41.85911444882017, 246.7908885529877, 7.868808516807598, 5.427535820850562, 20.0, 0.0
4, 0 ,1.0,1.0,1.0,16.229336483559756,44.49328607993699,15.67995668438669,10.082681118037849,12.168851436175066,10.43311014410857,45.0,61.0,41.0,-0.15384740662369606,-0.9255308988526161,0.3460108824072337,12.404448605636642,0.6476930252515603,-0.3589162537739089,-0.6720661186352017,10.785933361038026,-0.7462068885474354,-0.12071320576462423,-0.6546782426798551,9.401302431270055,58.81924074487954,61.9819093889996,48.29982260655036,18.116291960013033,5.512817492209215,50790.0,176088.05673522255, 0.0, 0.0,-1.7763568394002505E-15,69.75648400096114, 49.88892573018547,49.88892573018547,0.0, 101.66045852803695, 2.8266628025377805, -15.653241493595933, 2.8266628025377805, 148.08094527569997, -14.229014269947175, -15.653241493595933, -14.229014269947175, 108.84978727910114, 9.472381762850704, 5.909456839829766, 7.0, 0.0
5, 0 ,1.0,1.0,1.0,33.34167863562478,108.81994960136919,173.86244441959872,13.719534962323095,15.010660953042514,13.9161463507887,73.0,71.0,64.0,-0.3279797236174433,0.9238760636795569,-0.19718600319442664,15.316355645591958,-0.582081428587896,-0.033237093716186106,0.8124509253452634,14.197024980374524,0.7440500731731022,0.38124574038442466,0.5486721917956403,13.078931245730118,73.76201757392133,72.52113401509733,70.66170082705969,23.634873384370174,6.971188649785909,116273.0,377991.000968855, 0.0, 0.0,0.0,NaN, 100.54173728684371,100.54173728684371,0.0, 188.22563958240576, -18.661073144783824, -10.31362562161292, -18.661073144783824, 225.31994224719517, -12.397553396538216, -10.31362562161292, -12.397553396538216, 193.65912925656966, 7.854088977588384, 5.314685470852766, 19.0, 0.0
6, 0 ,1.0,1.0,1.0,49.0430821249461,12.636995938003494,24.438831778882157,20.16497399564278,8.193319012796826,14.153174189673459,86.0,34.0,62.0,-0.982874765876992,-0.021242911600187372,0.1830462600246041,20.350530257848828,-0.18390012373932377,0.04976385752913943,-0.9816844212742102,13.901969972669587,-0.011744747375302832,0.9985350755935244,0.052818213889946855,8.16456621242175,86.6150144711251,69.56297451493596,35.52840301940539,24.371693255502244,8.949277076578852,88134.0,214065.66438840437, 0.0, 0.0,0.0,NaN, 56.23321144455316,56.23321144455316,9.5367431640625E-7, 406.62617624494953, 6.096527179333783, -39.66020201357473, 6.096527179333783, 67.13047644545794, -7.536109275628348, -39.66020201357473, -7.536109275628348, 200.31233964323897, 7.655239587956022, 5.075279605902132, 10.0, 0.0
7, 0 ,1.0,1.0,1.0,161.59975722706753,176.0818277808725,138.5514021799679,15.467651338359236,14.121631509552614,15.019540043030654,74.0,59.0,80.0,-0.8053346721858462,0.4067993767650223,-0.4312195877263752,16.719132430159863,-0.16076358010325814,0.5502814803575157,0.8193566767213926,14.984967705893572,0.5706059385317497,0.7291807453842502,-0.37776223140114307,12.656091464466437,89.8615013403596,83.01422472715748,73.60089003226571,24.544468557541734,7.862846860309882,120277.0,549046.6584283508, 0.0, 0.0,0.0,NaN, 76.30588300630595,76.30588300630595,NaN, 239.24823792504628, -44.795844680436296, 32.96901735945884, -44.795844680436296, 199.42047649158923, 8.087274372862357, 32.96901735945884, 8.087274372862357, 225.58658310420125, 7.589752245521417, 5.038160672403071, 19.0, 0.0
8, 0 ,1.0,1.0,1.0,89.1976570476651,123.69581385351174,79.54293083991617,13.551177523205775,12.456160371906696,12.674792736981898,70.0,61.0,65.0,-0.7852837862849924,-0.4605800821720776,-0.4137576137115405,13.854490553094003,-0.6087493857411634,0.4524825114719968,0.6516776520425954,13.093478269966496,-0.11293166233462698,0.7636265872259533,-0.6357050219433391,11.664245912603594,67.58454727302883,68.99977311455719,57.98694484861802,21.522927564217795,6.017001202175844,93045.0,270411.5884895467, 0.0, 0.0,0.0,NaN, 141.7943182672511,141.7943182672511,0.0, 183.63441226543742, 10.468840748240655, 4.123015303596157, 10.468840748240655, 155.15593121065876, 21.085244468398706, 4.123015303596157, 21.085244468398706, 160.65037092544907, 7.373812430384042, 4.974508622175171, 21.0, 0.0
9, 0 ,1.0,1.0,1.0,171.7911593931448,39.59471577074358,16.611561153774115,15.598294103299507,13.242678508275883,11.070786359500687,72.0,69.0,52.0,0.921716764304189,0.21385085740609938,0.3235830916276266,16.217524083442655,0.2433168836645443,-0.9684968259572081,-0.053016905177388426,13.12634579444947,-0.30205148654557457,-0.12759979975489738,0.9447132848531976,10.292161207044076,85.91946644148487,75.29215941488623,55.54394838416847,22.063871608749103,7.377207686982711,85424.0,359317.25493976066, 0.0, 0.0,0.0,NaN, 51.37532646431077,51.37532646431077,6.743495761743046E-7, 243.30677893302817, 15.321171208911629, 45.993072801359865, 15.321171208911629, 175.36853407355198, 14.277672067624701, 45.993072801359865, 14.277672067624701, 122.56231061770647, 7.594779369200291, 5.065505798994338, 14.0, 0.0
10, 0 ,1.0,1.0,1.0,76.1385834977747,54.35761085911005,43.69506163347941,12.790137339561536,14.354980139712348,16.69424581018573,64.0,68.0,81.0,-0.2361496866922951,0.5199639210372202,0.8208963675731126,18.338352676149192,0.3630833544642501,-0.73638517699942,0.5708829554352812,12.6368978140206,-0.9013344568949523,-0.43286763786997695,0.01489311581731502,12.3436034410726,88.55551386269542,60.578908134517064,63.825695214553186,24.269373886612787,7.703791423657669,117063.0,342399.090888069, 0.0, 7.105427357601002E-15,0.0,58.6701685765955, 103.25256493914141,103.25256493914141,0.0, 163.58761316484623, -24.543634803202846, -34.13711407430052, -24.543634803202846, 206.06545481153591, 75.42826200283235, -34.13711407430052, 75.42826200283235, 278.69784317090387, 7.49076298678968, 4.796362002448017, 18.0, 0.0
